"1","What has happened to the East Liberty Home Depot?  It used to be my \""go-to\"" place for everything DIY, but no longer.  \n\nI stopped by yesterday to pick up about nine items, all of them basic home improvement supplies: cabinet handles, tension rods, quarter round molding, etc.  I came away with NONE of it.  Everything we wanted was OUT OF STOCK!  When I asked if I could order it and have it delivered to the store (to save the shipping costs) I was told that the items I wanted were not \""qualified\"" for delivery to the store.  \""When will the items be restocked?\""  \""Don't know.\""  \""Would it be possible to get the items delivered from another store in the region?\""  \""No, that 'messes with' our inventory controls.\""  Oh, but I was told I could haul my sorry butt out to Monroeville where the stock of everything I wanted was plentiful.  Really? \n\nThe staff I dealt with could not have cared less about helping me.  Maybe because it was a holiday (New Year's Eve).  Dunno.  Don't care.  Customer service should not ebb and flow based on the day/date.  \n\nThe East Liberty HD used to have shelves full of product and plenty of choices.  And the staff was helpful and eager to engage with customers.  No longer.  It appears that the company has given up on the location and is letting it die a slow and painful (for its customers) death.  \n\nVERY disappointing to me."
"1","Waiting 20 minutes to get one piece of wood cut in an empty store on a Friday afternoon.  Priceless!"
"1","Fairly mediocre, even by the relatively modest standards of Home Depot. Unfortunately, this is probably the best you're going to do for hardware in most of Pittsburgh."
"1","Tried using the online order store pickup with the hopes of increased efficiency.  fail."
"1","A few hours before the event, we happened across the ad in the City Paper and decided to give it a shot.  We were excited to get there as the event said we would be making something, there would be food and music, demonstrations, live music, and a gallery.  Booking our reservations for 6pm was quick and easy over the phone; $60 for a couple.  Upon arrival, we checked in and were asked if we wanted to purchase another item to make; we were confused because we assumed that we would each get to make something.  In the end, we chose not to spend the extra $15 to make another garden float/ornament; aka a hollow glass ball.  \n\nWhen our 'instructor' met with us, he was very friendly but it was loud and he was very hard to hear.  He ran through everything at lightning speed and in the end, all we got to do was blow air in a tube for 10 seconds.  Had the first attempt not popped, I wouldn't even have been able to do anything!  From a teacher's standpoint, there were many other steps in the process that we should have been able to participate in; I would've been happy to sign a waiver if that is part of the issue.  Within 15 minutes, our ball was done and we were shuffled out so another couple could have their turn.\n\nWe then worked our way downstairs to the food and drink and there was an assortment of beer, wine, sparkling juices, veggies, fruit, cheese, and some deli meats.  The assortment was nice, as we were able to snack on the healthy side, but the beer was still warm.\n\nThe gallery was nice to walk through with work on display from so many talented people, the live music added to the ambiance, and the demonstrations were interesting to watch.\n\nIn the end, it was nice experience, but were severely let down by the make-it/take-it section of the evening (the part we were most excited for!).  It really started to bug us, when later in the evening, we saw an older couple getting to do more of the steps in the process (mind you, we aren't young kids, but young professionals).  We would have liked to have a small 'info talk' about the steps that will take place, why they are that way, the tools used, maybe some quick science behind it, then get to work on the item."
"2","Went here with my girlfriends last Saturday.  They were having a girls night event.  A small bar & desserts were included in the price.  It was $40 per person. We loved it!  We worked closely with a glass artist.  We didn't just watch, we were acutally doing it!  We made glass flowers, I can't wait to pick mine up!  (It takes a few days.)  I definitely recommend this as something different to do with friends or on a date! My one friend did a glass blowing event there & said that this was much more HANDS ON than the glass blowing was."
"2","Great for a quick cut.  $22 for extreme attention to detail and excellent finish."
"2","This place is outstanding. I always get great discounts, and all the mechanics are very honest and helpful. I am certainly not rich and Marvin is always willing to assist me with my budget and what needs to be done on my vehicle. I've been given very specific directions on whatever needs to be worked on, taken back to the garage and allowed to see the old/new parts with no hassle. I would definitely recommend going here."
"1","This is the greasiest pizza I've ever had in Pittsburgh, I couldn't eat it."
"1","Provolone sticks arrived undercooked, cheese was fully solid, they tasted okay. The pizza also arrived undercooked, the dough itself was partially uncooked in the middle. I had to put it back into my own oven to finish it off, and then it was greasy and just okay."
"1","Worst pizza I've had in Pittsburgh. I ordered from here last weekend. The pizza (pepperoni) had no flavor and the crust was way too chewy. The Buffalo wings were cooked well, and were tender and juicy, but they had almost no sauce on them whatsoever; luckily I had some wing sauce in my fridge in order to save them. \n\nMaybe it was one bad night, and I can give them another chance later, but based on my one experience, I can't recommend this place to anyone."
"1","Ahh, the only place near the train station that is open past 9 PM, isn't overpriced and/or full of people who are way too jolly for such an early hour. I got a slice of cheese pizza and onion rings. The pizza was decent. There was nothing flavorful about the sauce and the grease would not stop oozing out of the cheese. I felt sick before I got halfway through it. That reminds me - the slices are HUGE, and are $2. The onion rings were extremely basic - I gave most of them to a couple of drunken girls who debated about what to eat for half an hour.\nOne irritating thing I overheard: as a girl was trying to place an order, the cashier kept interrupting her to say things like \""we don't have those anymore\"" or \""no, we can't cook wings dry.\"" Sounds like the menu and staff needs to be updated."
"1","This was one of first pizza places that I've tried inPittsburgh. It was about 5 years ago. I don't have a clear memory of that time but I have Parma pizza phobia ever since... So go figure..."
"1","I've should have known better than to order a salad from a pizza joint.  I also should have known that I shouldn't have cheated on my diet.\n\nI figured I'd choose today to be my cheat day and order with everyone else at work for take out.  I opted for the Popcorn Chicken Salad.  Sounds tasty, looked tasty, and yes it even tasted tasty.  Iceberg lettuce, grape tomatoes, cucumbers, red onions, french fries, popcorn chicken, and three types of cheese.  \n\nI have to say that even though I was saying yes, my body was saying, 'OH hell no!'\n\nI'm regretting this decision now as I am sitting here in discomfort.  Not sure what on the salad made me feel this way.  But I'm not liking the effect I'm getting right now.  Could just be karma turning around and kicking me in the ass for eating what looked healthy but was really nothing more than the equivalent of a fried chicken sandwich combo meal from a fast food joint.\n\nI'll think twice before the next time rolls around to order from here."
"2","Good food"
